manufacturer,manufacturerLabel,country,countryLabel,headquarters,headquartersLabel,inception,foundingYear
http://www.wikidata.org/entity/Q1001321,Q1001321,,,,,,
http://www.wikidata.org/entity/Q1001883,Q1001883,http://www.wikidata.org/entity/Q41304,Веймарская республика,http://www.wikidata.org/entity/Q1715,Ганновер,1922-01-01T00:00:00Z,1922
http://www.wikidata.org/entity/Q1004141,Q1004141,,,,,,
http://www.wikidata.org/entity/Q1004591,Q1004591,http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q64,Берлин,1933-01-01T00:00:00Z,1933
http://www.wikidata.org/entity/Q1011318,Q1011318,,,,,,
http://www.wikidata.org/entity/Q1014923,Q1014923,http://www.wikidata.org/entity/Q183,Германия,http://www.wikidata.org/entity/Q980,Бавария,1958-01-01T00:00:00Z,1958
http://www.wikidata.org/entity/Q1016370,Q1016370,,,,,,
http://www.wikidata.org/entity/Q1016597,Q1016597,,,http://www.wikidata.org/entity/Q582,Вийёрбан,1905-01-01T00:00:00Z,1905
http://www.wikidata.org/entity/Q1018909,Q1018909,,,http://www.wikidata.org/entity/Q67123,Штекборн,1898-01-01T00:00:00Z,1898
http://www.wikidata.org/entity/Q1019387,Q1019387,,,http://www.wikidata.org/entity/Q90,Париж,1924-01-01T00:00:00Z,1924
http://www.wikidata.org/entity/Q1019394,Q1019394,,,http://www.wikidata.org/entity/Q41876,Реймс,1900-01-01T00:00:00Z,1900
http://www.wikidata.org/entity/Q1019477,Q1019477,,,http://www.wikidata.org/entity/Q23482,Марсель,1900-01-01T00:00:00Z,1900
http://www.wikidata.org/entity/Q1019671,Q1019671,,,http://www.wikidata.org/entity/Q505967,Ридлинген,1941-01-01T00:00:00Z,1941
http://www.wikidata.org/entity/Q1019671,Q1019671,,,http://www.wikidata.org/entity/Q505967,Ридлинген,1946-01-01T00:00:00Z,1946
http://www.wikidata.org/entity/Q1022391,Q1022391,,,http://www.wikidata.org/entity/Q26498,Эскильстуна,1900-01-01T00:00:00Z,1900
http://www.wikidata.org/entity/Q1022409,Q1022409,,,http://www.wikidata.org/entity/Q279,Модена,1913-01-01T00:00:00Z,1913
http://www.wikidata.org/entity/Q1022467,Q1022467,,,,,,
